date;Germany;Iran;Italy
2021-04-13;3022323;2118212;3793033
2021-04-14;3044016;2143794;3809193
2021-04-15;3073442;2168872;3826156
2021-04-16;3099273;2194133;3842079
2021-04-17;3123077;2215445;3857443
2021-04-18;3142262;2237089;3870131
2021-04-19;3153699;2261435;3878994
2021-04-20;3163308;2286927;3891063
2021-04-21;3188192;2311813;3904899
2021-04-22;3217710;2335905;3920945
2021-04-23;3245253;2358809;3935703
2021-04-24;3268645;2377039;3949517
2021-04-25;3287418;2396204;3962674
2021-04-26;3299325;2417230;3971114
2021-04-27;3310301;2438193;3981512
2021-04-28;3332532;2459906;3994894
2021-04-29;3357268;2479805;4009208
2021-04-30;3381597;2499077;4022653
2021-05-01;3400532;2516157;4035617
2021-05-02;3416822;2534855;4044762
2021-05-03;3425982;2555587;4050708
2021-05-04;3433516;2575737;4059821
2021-05-05;3451550;2591609;4070400
2021-05-06;3473503;2610018;4082198
2021-05-07;3491988;2627094;4092747
2021-05-08;3507673;2640670;4102921
2021-05-09;3520329;2654811;4111210
2021-05-10;3527251;2673219;4116287
2021-05-11;3533376;2691352;4123230
2021-05-12;3548285;2707761;4131078
2021-05-13;3565704;2722007;4139160
2021-05-14;3577040;2732152;4146722
2021-05-15;3584934;2739875;4153374
2021-05-16;3593434;2751166;4159122
2021-05-17;3598846;2765485;4162576
2021-05-18;3603055;2779415;4167025
2021-05-19;3614095;2792204;4172525
2021-05-20;3626393;2804632;4178261
2021-05-21;3635162;2815882;4183476
2021-05-22;3642244;2823887;4188190
2021-05-23;3648958;2832518;4192183
2021-05-24;3651640;2843523;4194672
2021-05-25;3653551;2855396;4197892
2021-05-26;3656177;2865864;4201827
2021-05-27;3662490;2875858;4205970
2021-05-28;3669870;2886111;4209707
2021-05-29;3675296;2893218;4213055
2021-05-30;3679148;2902094;4216003
2021-05-31;3681126;2913136;4217821
2021-06-01;3682911;2923823;4220304
2021-06-02;3687828;2935443;4223200
2021-06-03;3692468;2945100;4225163
2021-06-04;3695633;2954309;4227719
2021-06-05;3697927;2960751;4230153
2021-06-06;3700367;2966363;4232428
2021-06-07;3701484;2971270;4233698
2021-06-08;3702688;2980116;4235592
2021-06-09;3705942;2990714;4237790
2021-06-10;3709129;3003112;4239868
2021-06-11;3711569;3013078;4241760
2021-06-12;3713480;3020522;4243482
2021-06-13;3714969;3028717;4244872
2021-06-14;3715518;3039432;4245779
2021-06-15;3716170;3049648;4247032
2021-06-16;3717625;3060135;4248432
2021-06-17;3718955;3070426;4249755
2021-06-18;3720031;3080526;4250902
2021-06-19;3721139;3086974;4252095
2021-06-20;3721981;3095135;4252976
2021-06-21;3722327;3105620;4253460
2021-06-22;3722782;3117336;4254294
2021-06-23;3723798;3128395;4255434
2021-06-24;3724806;3140129;4255700
2021-06-25;3725580;3150949;4256451
2021-06-26;3726172;3157983;4257289
2021-06-27;3726710;3167741;4258069
2021-06-28;3726929;3180092;4258456
2021-06-29;3727333;3192809;4259133
2021-06-30;3728141;3204557;4259909
2021-07-01;3729033;3218860;4260788
2021-07-02;3729682;3232696;4261582
2021-07-03;3730353;3241037;4262511
2021-07-04;3730912;3254818;4263317
2021-07-05;3731124;3270843;4263797
2021-07-06;3731564;3286923;4264704
2021-07-07;3732549;3304135;4265714
2021-07-08;3733519;3327526;4267105
2021-07-09;3734468;3344122;4268491
2021-07-10;3735420;3355786;4269885
2021-07-11;3736165;3373450;4271276
2021-07-12;3736489;3394279;4272163
2021-07-13;3737135;3417029;4273693
2021-07-14;3738683;3440400;4275846
2021-07-15;3740325;3464055;4278319
2021-07-16;3741781;3485940;4281214
2021-07-17;3743389;3501079;4284332
2021-07-18;3744681;3523263;4287458
2021-07-19;3745227;3548704;4289528
2021-07-20;3746410;3576148;4293083
2021-07-21;3748613;3603527;4297337
2021-07-22;3750503;3623840;4302393
2021-07-23;3752592;3645654;4307535
2021-07-24;3754511;3664286;4312673
2021-07-25;3755898;3691432;4317415
2021-07-26;3756856;3723246;4320530
2021-07-27;3758401;3758197;4325046
2021-07-28;3761169;3792014;4330739
2021-07-29;3764311;3826447;4336906
2021-07-30;3766765;3851162;4343519
2021-07-31;3769165;3871008;4350028
2021-08-01;3771262;3903519;4355348
2021-08-02;3772109;3940708;4358533
2021-08-03;3773875;3979727;4363374
2021-08-04;3777446;4019084;4369964
2021-08-05;3780985;4057758;4377188
2021-08-06;3784433;4092671;4383787
2021-08-07;3787639;4119110;4390684
2021-08-08;3790766;4158729;4396417
2021-08-09;3791949;4199537;4400617
2021-08-10;3794429;4238676;4406241
2021-08-11;3799425;4281217;4413162
2021-08-12;3805063;4320266;4420429
2021-08-13;3810641;4359385;4427827
2021-08-14;3816285;4389085;4435008
2021-08-15;3821013;4425821;4440669
2021-08-16;3823139;4467015;4444338
2021-08-17;3827051;4517243;4449606
2021-08-18;3835375;4556417;4456765
2021-08-19;3843775;4587683;4464005
2021-08-20;3853055;4616516;4471225
2021-08-21;3861147;4640695;4478691
2021-08-22;3868197;4677114;4484613
2021-08-23;3871865;4715771;4488779
2021-08-24;3877612;4756394;4494857
2021-08-25;3889173;4796377;4502396
2021-08-26;3901799;4833135;4509611
2021-08-27;3913828;4869414;4517434
2021-08-28;3924131;4895448;4524292
2021-08-29;3932547;4926964;4530246
2021-08-30;3937106;4960744;4534499
2021-08-31;3942856;4992063;4539991
2021-09-01;3956387;5025233;4546487
2021-09-02;3970102;5055512;4553241
2021-09-03;3984353;5083133;4559970
2021-09-04;3995188;5103537;4566126
2021-09-05;4005641;5129407;4571440
2021-09-06;4010390;5156986;4574787
2021-09-07;4017116;5184124;4579502
2021-09-08;4030681;5210978;4585423
2021-09-09;4046112;5237799;4590941
2021-09-10;4059081;5258913;4596558
2021-09-11;4070295;5275567;4601749
2021-09-12;4077640;5295786;4606413
2021-09-13;4083151;5318327;4609205
2021-09-14;4089476;5340656;4613214
2021-09-15;4101931;5360387;4618040
2021-09-16;4114856;5378408;4623155
2021-09-17;4125878;5396013;4627699
2021-09-18;4134779;5408860;4632275
2021-09-19;4142116;5424835;4636111
2021-09-20;4145852;5442232;4638516
2021-09-21;4150516;5459796;4641890
2021-09-22;4160970;5477229;4645853
2021-09-23;4171666;5493591;4649906
2021-09-24;4181393;5508885;4653696
2021-09-25;4188604;5519728;4657215
2021-09-26;4196378;5533520;4660314
2021-09-27;4199400;5547990;4662087
2021-09-28;4203571;5559691;4665049
2021-09-29;4215351;5572962;4668261
2021-09-30;4227501;5587040;4672355
2021-10-01;4237619;5601565;4675758
2021-10-02;4246136;5611700;4679067
2021-10-03;4252300;5624128;4682034
2021-10-04;4255388;5638735;4683646
2021-10-05;4260187;5651961;4686109
2021-10-06;4271734;5662458;4689341
2021-10-07;4283378;5674083;4692274
2021-10-08;4293807;5683980;4695291
2021-10-09;4302661;5691634;4698038
2021-10-10;4310273;5702890;4700316
2021-10-11;4313384;5716394;4701832
2021-10-12;4318355;5729785;4704318
2021-10-13;4330258;5742083;4707087
2021-10-14;4342640;5754047;4709753
2021-10-15;4354158;5765904;4712482
2021-10-16;4365107;5773419;4715464
2021-10-17;4373789;5784815;4717899
2021-10-18;4377845;5796659;4719493
2021-10-19;4384616;5809967;4722188
2021-10-20;4401631;5821737;4725887
2021-10-21;4417708;5833525;4729678
2021-10-22;4437280;5844589;4733557
2021-10-23;4452425;5851670;4737462
2021-10-24;4466157;5860844;4741185
2021-10-25;4472730;5868360;4743720
2021-10-26;4483203;5877456;4747773
2021-10-27;4506415;5888100;4752368
2021-10-28;4534452;5899509;4757231
2021-10-29;4559120;5909402;4762563
2021-10-30;4580663;5916211;4767440
2021-10-31;4597550;5924638;4771965
2021-11-01;4607208;5934495;4774783
2021-11-02;4618021;5944599;4777614
2021-11-03;4638419;5954962;4782802
2021-11-04;4672368;5964824;4788704
2021-11-05;4709488;5973457;4795465
2021-11-06;4743490;5980260;4802225
2021-11-07;4767033;5987814;4808047
2021-11-08;4782546;5996155;4812594
2021-11-09;4804378;6004460;4818705
2021-11-10;4844054;6012408;4826738
2021-11-11;4894250;6019947;4835435
2021-11-12;4942890;6027269;4843957
2021-11-13;4987971;6031575;4852496
2021-11-14;5021469;6037718;4860061
2021-11-15;5045076;6045212;4865260
2021-11-16;5077124;6051642;4873075
2021-11-17;5129950;6057893;4883242
2021-11-18;5195321;6063775;4893887
2021-11-19;5248291;6069559;4904441
2021-11-20;5312215;6073098;4915981
2021-11-21;5354942;6077438;4925688
2021-11-22;5385585;6082865;4932091
2021-11-23;5430911;6088009;4942135
2021-11-24;5497795;6092822;4954585
2021-11-25;5573756;6097672;4968341
2021-11-26;5650170;6102056;4982022
2021-11-27;5717295;6105101;4994891
2021-11-28;5761696;6108882;5007818
2021-11-29;5791060;6113192;5015790
2021-11-30;5836813;6117445;5028547
2021-12-01;5903999;6121757;5043620
2021-12-02;5977208;6125596;5060430
2021-12-03;6051560;6129199;5077445
2021-12-04;6116070;6131356;5094072
2021-12-05;6158125;6134465;5109082
2021-12-06;6185961;6137821;5118576
2021-12-07;6222020;6141335;5134318
2021-12-08;6291621;6144644;5152264
2021-12-09;6362232;6147872;5164780
2021-12-10;6423520;6150843;5185270
2021-12-11;6477217;6152524;5206305
2021-12-12;6509863;6154813;5225517
2021-12-13;6531606;6157519;5238221
2021-12-14;6562429;6160303;5258886
2021-12-15;6613730;6162954;5282076
2021-12-16;6670407;6165454;5308180
2021-12-17;6721375;6167650;5336795
2021-12-18;6764188;6169011;5364852
2021-12-19;6793536;6170979;5389155
2021-12-20;6809622;6173369;5405360
2021-12-21;6833050;6175782;5436143
2021-12-22;6878709;6177885;5472469
2021-12-23;6923636;6179817;5517054
2021-12-24;6959067;6181784;5567644
2021-12-25;6981281;6182905;5622431
2021-12-26;6991381;6184762;5647313
2021-12-27;7005289;6186729;5678112
2021-12-28;7026369;6188857;5756412
2021-12-29;7066412;6190762;5854428
2021-12-30;7109182;6192698;5981428
2021-12-31;7150422;6194401;6125683
2022-01-01;7176814;6195403;6266939
2022-01-02;7189329;6196913;6328076
2022-01-03;7207847;6198590;6396110
2022-01-04;7238408;6200296;6566947
2022-01-05;7297320;6201467;6756035
2022-01-06;7361660;6203046;6975465
2022-01-07;7417995;6204224;7083762
2022-01-08;7473884;6204925;7281297
2022-01-09;7510436;6206405;7436939
2022-01-10;7535691;6208337;7554344
2022-01-11;7581381;6210298;7774863
2022-01-12;7661811;6212387;7971068
2022-01-13;7743228;6214781;8155645
2022-01-14;7835451;6217320;8356514
2022-01-15;7913473;6218741;8549450
2022-01-16;7965977;6221033;8706915
2022-01-17;8000122;6224196;8790302
2022-01-18;8074527;6227849;9018425
2022-01-19;8186850;6231909;9219391
2022-01-20;8320386;6236567;9418256
2022-01-21;8460546;6241843;9603856
2022-01-22;8596007;6245346;9781191
2022-01-23;8681447;6250490;9923678
2022-01-24;8744840;6258181;10001344
2022-01-25;8871795;6267559;10212621
2022-01-26;9035795;6279410;10383561
2022-01-27;9238931;6293695;10539601
2022-01-28;9429079;6310452;10683948
2022-01-29;9618245;6322183;10821375
2022-01-30;9737215;6344179;10925485
2022-01-31;9815533;6373174;10983116
2022-02-01;9978146;6408244;11116422
2022-02-02;10186644;6446404;11235745
2022-02-03;10422764;6483799;11348701
2022-02-04;10671602;6520707;11449601
2022-02-05;10889417;6543837;11542793
2022-02-06;11022590;6579266;11621736
2022-02-07;11117857;6619085;11663338
2022-02-08;11287428;6657842;11765767
2022-02-09;11521678;6696927;11847436
2022-02-10;11769540;6730608;11923631
2022-02-11;12009712;6761855;11991109
2022-02-12;12219501;6780453;12053330
2022-02-13;12344661;6806265;12105675
2022-02-14;12421126;6835221;12134451
2022-02-15;12580343;6860255;12205474
2022-02-16;12800315;6876565;12265343
2022-02-17;13035941;6894110;12323398
2022-02-18;13255989;6913427;12377098
2022-02-19;13445094;6925485;12427773
2022-02-20;13563126;6942452;12469975
2022-02-21;13636993;6961562;12494459
2022-02-22;13762895;6983635;12554596
2022-02-23;13971947;6998975;12603758
2022-02-24;14188269;7011932;12651251
2022-02-25;14399012;7023904;12693320
2022-02-26;14574845;7030943;12732680
2022-02-27;14682758;7040467;12764558
2022-02-28;14745107;7051429;12782836
2022-03-01;14867218;7060741;12829972
2022-03-02;15053624;7066975;12867918
2022-03-03;15264297;7073747;12910506
2022-03-04;15481890;7080217;12948859
2022-03-05;15674100;7084306;12990223
2022-03-06;15790989;7089892;13026112
2022-03-07;15869417;7096318;13048774
2022-03-08;16026216;7102159;13109527
2022-03-09;16242070;7107167;13159342
2022-03-10;16504822;7113591;13214498
2022-03-11;16757658;7117544;13268459
2022-03-12;16994744;7119763;13323179
2022-03-13;17141351;7123093;13373207
2022-03-14;17233729;7126906;13402905
2022-03-15;17432617;7130129;13489319
2022-03-16;17695210;7133139;13563466
2022-03-17;17990141;7135719;13645834
2022-03-18;18287986;7137894;13724411
2022-03-19;18548225;7139217;13800179
2022-03-20;18680017;7141033;13861743
2022-03-21;18772331;7142287;13895188
2022-03-22;18994411;7143409;13992092
2022-03-23;19278143;7144532;14070450
2022-03-24;19596530;7145877;14153098
2022-03-25;19893028;7147407;14229495
2022-03-26;20145054;7148789;14304111
2022-03-27;20256278;7151088;14364723
2022-03-28;20323779;7154003;14396283
2022-03-29;20561131;7156746;14496579
2022-03-30;20829608;7159733;14567990
2022-03-31;21357095;7162220;14642354
2022-04-01;21357039;7164484;14719394
2022-04-02;21553495;7166371;14790806
2022-04-03;21668677;7167646;14845815
2022-04-04;21668677;7171165;14877144
2022-04-05;21849074;7175780;14966058
2022-04-06;22265788;7180008;15035943
2022-04-07;22441051;7183808;15106066
2022-04-08;22591726;7186992;15173707
2022-04-09;22647197;7188749;15238128
2022-04-10;22677986;7191643;15292048
2022-04-11;22878428;7194768;15320753
2022-04-12;23017079;7197505;15404809
2022-04-13;23182447;7199861;15467395
2022-04-14;23339311;7202055;15533012
2022-04-15;23376879;7204049;15595302
2022-04-16;23416663;7205064;15659835
2022-04-17;23437145;7206959;15712088
2022-04-18;23459628;7208968;15730676
2022-04-19;23658211;7210788;15758002
2022-04-20;23844536;7212395;15858442
2022-04-21;24006254;7213808;15934437
2022-04-22;24141333;7214904;16008181
2022-04-23;24180512;7215512;16079209
2022-04-24;24200596;7216040;16136057
2022-04-25;24337394;7217117;16161339
2022-04-26;24337394;7218424;16191323
2022-04-27;24609159;7219433;16279754
2022-04-28;24710769;7220402;16349788
2022-04-29;24798067;7221121;16409183
2022-04-30;24809785;7221653;16463200
2022-05-01;24813817;7222308;16504791
2022-05-02;24927339;7223005;16523859
2022-05-03;25033970;7223576;16586268
2022-05-04;25130137;7223828;16633911
2022-05-05;25215210;7224056;16682626
2022-05-06;25287462;7224431;16726990
2022-05-07;25295950;7224701;16767773
2022-05-08;25299300;7225189;16798998
2022-05-09;25406868;7225759;16816419
2022-05-10;25503878;7226219;16872618
2022-05-11;25592839;7226672;16915301
2022-05-12;25661838;7227043;16954784
2022-05-13;25723697;7227428;16993813
2022-05-14;25729848;7227683;17030147
